Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Position
MA Starc (AUS),10,10,554,92.2,5,502,27,May-26,18.59,5.43,20.51,2,2,L.Pace
LH Ferguson (NZ),9,9,502,83.4,3,409,21,Apr-37,19.47,4.88,23.9,1,-,Pace
JC Archer (ENG),11,11,605,100.5,8,461,20,Mar-27,23.05,4.57,30.25,-,-,Pace
Mustafizur Rahman (BAN),8,8,433,72.1,2,484,20,May-59,24.2,6.7,21.65,-,2,L.Pace
JJ Bumrah (IND),9,9,504,84,9,371,18,Apr-55,20.61,4.41,28,1,-,Pace
MA Wood (ENG),10,10,538,89.4,2,463,18,Mar-18,25.72,5.16,29.88,-,-,Pace
Mohammad Amir (PAK),8,8,438,73,5,358,17,May-30,21.05,4.9,25.76,-,1,L.Pace
TA Boult (NZ),10,10,594,99,4,479,17,Apr-30,28.17,4.83,34.94,2,-,L.Pace
Shaheen Shah Afridi (PAK),5,5,283,47.1,3,234,16,Jun-35,14.62,4.96,17.68,1,1,L.Pace
CR Woakes (ENG),11,11,510,85,6,446,16,Mar-20,27.87,5.24,31.87,-,-,Pace
JDS Neesham (NZ),10,9,327,54.3,2,292,15,May-31,19.46,5.35,21.8,-,1,Pace
Mohammed Shami (IND),4,4,211,35.1,2,193,14,May-69,13.78,5.48,15.07,2,1,Pace
MJ Henry (NZ),9,9,482,80.2,5,392,14,Apr-47,28,4.87,34.42,1,-,Pace
PJ Cummins (AUS),10,10,517,86.1,6,427,14,Mar-33,30.5,4.95,36.92,-,-,Pace
CH Morris (SA),8,7,382,63.4,5,341,13,Mar-13,26.23,5.35,29.38,-,-,Pace
SL Malinga (SL),7,7,370,61.4,4,373,13,Apr-43,28.69,6.04,28.46,1,-,Pace
Mohammad Saifuddin (BAN),7,7,348,58,2,417,13,Mar-72,32.07,7.18,26.76,-,-,Pace
SS Cottrell (WI),9,9,402,67,2,392,12,Apr-56,32.66,5.85,33.5,1,-,L.Pace
YS Chahal (IND),8,8,444,74,-,442,12,Apr-51,36.83,5.97,37,1,-,Spin
LE Plunkett (ENG),7,7,336,56,-,272,11,Mar-42,24.72,4.85,30.54,-,-,Pace
AL Phehlukwayo (SA),9,8,371,61.5,2,336,11,Feb-18,30.54,5.43,33.72,-,-,Pace
Imran Tahir (SA),9,8,456,76,-,374,11,Apr-29,34,4.92,41.45,1,-,Spin
K Rabada (SA),9,8,468,78,4,397,11,Mar-56,36.09,5.08,42.54,-,-,Pace
Shakib Al Hasan (BAN),8,8,444,74,1,399,11,May-29,36.27,5.39,40.36,-,1,Spin
Wahab Riaz (PAK),8,8,400,66.4,1,400,11,Mar-46,36.36,6,36.36,-,-,L.Pace
AU Rashid (ENG),11,11,552,92,-,526,11,Mar-54,47.81,5.71,50.18,-,-,Spin
B Kumar (IND),6,6,310,51.4,1,269,10,Mar-43,26.9,5.2,31,-,-,Pace
Mohammad Nabi (AFG),9,9,436,72.4,-,335,10,Apr-30,33.5,4.61,43.6,1,-,Spin
HH Pandya (IND),9,9,474,79,1,447,10,Mar-60,44.7,5.65,47.4,-,-,Pace
JP Behrendorff (AUS),5,5,265,44.1,2,227,9,May-44,25.22,5.13,29.44,-,1,L.Pace
Shadab Khan (PAK),7,6,348,58,1,320,9,Mar-50,35.55,5.51,38.66,-,-,Spin
CR Brathwaite (WI),8,7,264,44,-,323,9,Apr-63,35.88,7.34,29.33,1,-,Pace
O Thomas (WI),9,9,349,58.1,1,380,9,Apr-27,42.22,6.53,38.77,1,-,Pace
Gulbadin Naib (AFG),9,9,394,65.4,2,420,9,Mar-68,46.66,6.39,43.77,-,-,Pace
Dawlat Zadran (AFG),5,5,234,39,1,288,8,Mar-85,36,7.38,29.25,-,-,Pace
JO Holder (WI),9,8,367,61.1,4,343,8,Mar-42,42.87,5.6,45.87,-,-,Pace
L Ngidi (SA),4,4,198,33,1,211,7,Mar-64,30.14,6.39,28.28,-,-,Pace
MP Stoinis (AUS),8,8,240,40,1,244,7,Feb-37,34.85,6.1,34.28,-,-,Pace
BA Stokes (ENG),11,11,305,50.5,1,246,7,Mar-23,35.14,4.83,43.57,-,-,Pace
Mujeeb Ur Rahman (AFG),7,7,347,57.5,1,259,7,Mar-39,37,4.47,49.57,-,-,Spin
KAJ Roach (WI),4,4,198,33,4,121,6,Mar-36,20.16,3.66,33,-,-,Pace
C de Grandhomme (NZ),10,10,306,51,4,212,6,Jan-14,35.33,4.15,51,-,-,Pace
I Udana (SL),7,7,309,51.3,-,296,6,Feb-41,49.33,5.74,51.5,-,-,L.Pace
MJ Santner (NZ),10,9,402,67,4,323,6,Feb-34,53.83,4.82,67,-,-,Spin
Kuldeep Yadav (IND),7,7,402,67,2,337,6,Feb-32,56.16,5.02,67,-,-,Spin
Mehidy Hasan Miraz (BAN),7,7,402,67,-,341,6,Feb-47,56.83,5.08,67,-,-,Spin
Rashid Khan (AFG),9,8,431,71.5,1,416,6,Feb-17,69.33,5.79,71.83,-,-,Spin
D Pretorius (SA),3,3,138,23,4,94,5,Mar-25,18.8,4.08,27.6,-,-,Pace
AD Russell (WI),4,4,114,19,1,101,5,02-Apr,20.2,5.31,22.8,-,-,Pace
KW Richardson (AUS),2,2,106,17.4,1,109,5,Mar-47,21.8,6.16,21.2,-,-,Pace
N Pradeep (SL),3,3,174,29,2,157,5,Apr-31,31.4,5.41,34.8,1,-,Pace
DM de Silva (SL),7,6,222,37,-,197,5,Mar-32,39.4,5.32,44.4,-,-,Spin
MM Ali (ENG),5,5,258,43,-,230,5,Mar-50,46,5.34,51.6,-,-,Spin
A Zampa (AUS),4,4,198,33,-,236,5,Mar-60,47.2,7.15,39.6,-,-,Spin
Soumya Sarkar (BAN),8,2,84,14,-,91,4,Mar-58,22.75,6.5,21,-,-,Pace
Aftab Alam (AFG),3,3,121,20.1,2,115,4,Mar-45,28.75,5.7,30.25,-,-,Pace
NM Coulter-Nile (AUS),5,5,282,47,2,280,4,Feb-58,70,5.95,70.5,-,-,Pace
NM Lyon (AUS),4,4,204,34,-,181,3,Feb-53,60.33,5.32,68,-,-,Spin
Mosaddek Hossain (BAN),7,7,216,36,-,215,3,Feb-33,71.66,5.97,72,-,-,Spin
V Shankar (IND),3,1,32,5.2,-,22,2,Feb-22,11,4.12,16,-,-,Pace
JE Root (ENG),11,3,60,10,-,55,2,Feb-27,27.5,5.5,30,-,-,Spin
KS Williamson (NZ),10,2,90,15,-,64,2,Jan-25,32,4.26,45,-,-,Spin
RA Jadeja (IND),2,2,120,20,-,74,2,Jan-34,37,3.7,60,-,-,Spin
CH Gayle (WI),9,4,90,15,-,80,2,01-Aug,40,5.33,45,-,-,Spin
CAK Rajitha (SL),2,2,108,18,-,123,2,Jan-47,61.5,6.83,54,-,-,Pace
ST Gabriel (WI),3,3,123,20.3,-,173,2,Feb-49,86.5,8.43,61.5,-,-,Pace
Imad Wasim (PAK),6,5,234,39,-,188,2,Feb-48,94,4.82,117,-,-,Spin
Mohammad Hafeez (PAK),8,7,192,32,1,189,2,Jan-43,94.5,5.9,96,-,-,Spin
Hasan Ali (PAK),4,4,198,33,-,256,2,Jan-67,128,7.75,99,-,-,Pace
AD Mathews (SL),7,1,12,2,-,6,1,01-Jun,6,3,12,-,-,Pace
AJ Finch (AUS),10,2,18,3,-,20,1,Jan-13,20,6.66,18,-,-,Spin
SPD Smith (AUS),10,3,24,4,-,32,1,01-Jun,32,8,24,-,-,Spin
Shoaib Malik (PAK),3,3,48,8,-,47,1,01-Oct,47,5.87,48,-,-,Spin
JDF Vandersay (SL),1,1,42,7,-,50,1,Jan-50,50,7.14,42,-,-,Spin
Sayed Shirzad (AFG),1,1,48,8,-,56,1,Jan-56,56,7,48,-,-,L.Pace
JP Duminy (SA),5,4,54,9,-,61,1,Jan-15,61,6.77,54,-,-,Spin
Rahmat Shah (AFG),9,4,78,13,-,69,1,Jan-22,69,5.3,78,-,-,Spin
TG Southee (NZ),1,1,54,9,-,70,1,Jan-70,70,7.77,54,-,-,Pace
AK Markram (SA),8,3,72,12,-,76,1,Jan-22,76,6.33,72,-,-,Spin
FA Allen (WI),3,3,126,21,-,122,1,Jan-44,122,5.8,126,-,-,Spin
Hamid Hassan (AFG),5,5,156,26,3,122,1,Jan-53,122,4.69,156,-,-,Pace
Rubel Hossain (BAN),2,2,102,17,-,131,1,Jan-48,131,7.7,102,-,-,Pace
NLTC Perera (SL),6,6,242,40.2,1,207,1,Jan-19,207,5.13,242,-,-,Pace
Mashrafe Mortaza (BAN),8,8,336,56,1,361,1,Jan-68,361,6.44,336,-,-,Pace
